Scenario,ISO,Country,Year,Technology,wacc_projection,Region,IncomeLevel
Below2,CAN,Canada,2040,Wind_Onshore,0.0788132862787777,North America,High income
Below2,CAN,Canada,2045,Wind_Onshore,0.0789045566471655,North America,High income
Below2,CAN,Canada,2050,Wind_Onshore,0.0783702044106412,North America,High income
Below2,CHE,Switzerland,2025,Wind_Onshore,0.075207168530063,Europe and Central Asia,High income
Below2,CHE,Switzerland,2030,Wind_Onshore,0.0744768957888852,Europe and Central Asia,High income
Below2,CHE,Switzerland,2035,Wind_Onshore,0.0745084586137216,Europe and Central Asia,High income
Below2,CHE,Switzerland,2040,Wind_Onshore,0.0751945565589047,Europe and Central Asia,High income
Below2,CHE,Switzerland,2045,Wind_Onshore,0.0760610887828443,Europe and Central Asia,High income
Below2,CHE,Switzerland,2050,Wind_Onshore,0.0762353373243655,Europe and Central Asia,High income
Below2,CHL,Chile,2025,Wind_Onshore,0.0875748890193007,Latin America and Caribbean,High income
Below2,CHL,Chile,2030,Wind_Onshore,0.0821501749951817,Latin America and Caribbean,High income
Below2,CHL,Chile,2035,Wind_Onshore,0.0806992848963006,Latin America and Caribbean,High income
Below2,CHL,Chile,2040,Wind_Onshore,0.0818264671930167,Latin America and Caribbean,High income
Below2,CHL,Chile,2045,Wind_Onshore,0.0834469619144439,Latin America and Caribbean,High income
Below2,CHL,Chile,2050,Wind_Onshore,0.083191373824768,Latin America and Caribbean,High income
Below2,CHN,China,2025,Wind_Onshore,0.0652933367456144,East Asia and Pacific,Upper middle income
Below2,CHN,China,2030,Wind_Onshore,0.0568186733909813,East Asia and Pacific,Upper middle income
Below2,CHN,China,2035,Wind_Onshore,0.0473312523049406,East Asia and Pacific,Upper middle income
Below2,CHN,China,2040,Wind_Onshore,0.0385887095149978,East Asia and Pacific,Upper middle income
Below2,CHN,China,2045,Wind_Onshore,0.0290905934223112,East Asia and Pacific,Upper middle income
Below2,CHN,China,2050,Wind_Onshore,0.0200485618533972,East Asia and Pacific,Upper middle income
Below2,CZE,Czech Republic,2025,Wind_Onshore,0.0804743487575177,Europe and Central Asia,High income
Below2,CZE,Czech Republic,2030,Wind_Onshore,0.0818056807184801,Europe and Central Asia,High income
Below2,CZE,Czech Republic,2035,Wind_Onshore,0.0805374849443041,Europe and Central Asia,High income
Below2,CZE,Czech Republic,2040,Wind_Onshore,0.0807697198186123,Europe and Central Asia,High income
Below2,CZE,Czech Republic,2045,Wind_Onshore,0.0815479094202841,Europe and Central Asia,High income
Below2,CZE,Czech Republic,2050,Wind_Onshore,0.081071777514854,Europe and Central Asia,High income
Below2,DEU,Germany,2025,Wind_Onshore,0.0737106507768703,Europe and Central Asia,High income
Below2,DEU,Germany,2030,Wind_Onshore,0.0729680969618574,Europe and Central Asia,High income
Below2,DEU,Germany,2035,Wind_Onshore,0.0725362218858468,Europe and Central Asia,High income
Below2,DEU,Germany,2040,Wind_Onshore,0.0719191479483433,Europe and Central Asia,High income
Below2,DEU,Germany,2045,Wind_Onshore,0.0715376857789083,Europe and Central Asia,High income
Below2,DEU,Germany,2050,Wind_Onshore,0.0712288236933386,Europe and Central Asia,High income
Below2,DNK,Denmark,2025,Wind_Onshore,0.083032128807436,Europe and Central Asia,High income
Below2,DNK,Denmark,2030,Wind_Onshore,0.0840393485191023,Europe and Central Asia,High income
Below2,DNK,Denmark,2035,Wind_Onshore,0.0842806981605982,Europe and Central Asia,High income
Below2,DNK,Denmark,2040,Wind_Onshore,0.0843193968999051,Europe and Central Asia,High income
Below2,DNK,Denmark,2045,Wind_Onshore,0.0844796090302524,Europe and Central Asia,High income
Below2,DNK,Denmark,2050,Wind_Onshore,0.0843180478577202,Europe and Central Asia,High income
Below2,EGY,Egypt,2025,Wind_Onshore,0.1386815728985138,Middle East and North Africa,Lower middle income
Below2,EGY,Egypt,2030,Wind_Onshore,0.0808734284862831,Middle East and North Africa,Lower middle income
Below2,EGY,Egypt,2035,Wind_Onshore,0.0782356027357377,Middle East and North Africa,Lower middle income
Below2,EGY,Egypt,2040,Wind_Onshore,0.0795521241928311,Middle East and North Africa,Lower middle income
Below2,EGY,Egypt,2045,Wind_Onshore,0.0801349628803153,Middle East and North Africa,Lower middle income
Below2,EGY,Egypt,2050,Wind_Onshore,0.0795937216903339,Middle East and North Africa,Lower middle income
Below2,ESP,Spain,2025,Wind_Onshore,0.0918072142985433,Europe and Central Asia,High income
Below2,ESP,Spain,2030,Wind_Onshore,0.0905241746746587,Europe and Central Asia,High income
Below2,ESP,Spain,2035,Wind_Onshore,0.0909467946188526,Europe and Central Asia,High income
Below2,ESP,Spain,2040,Wind_Onshore,0.0910217132842027,Europe and Central Asia,High income
Below2,ESP,Spain,2045,Wind_Onshore,0.0909702550390183,Europe and Central Asia,High income
Below2,ESP,Spain,2050,Wind_Onshore,0.0903051816752723,Europe and Central Asia,High income
Below2,EST,Estonia,2025,Wind_Onshore,0.0849184573157224,Europe and Central Asia,High income
Below2,EST,Estonia,2030,Wind_Onshore,0.0805370560881192,Europe and Central Asia,High income
Below2,EST,Estonia,2035,Wind_Onshore,0.0812680343047541,Europe and Central Asia,High income
Below2,EST,Estonia,2040,Wind_Onshore,0.0826619465395216,Europe and Central Asia,High income
Below2,EST,Estonia,2045,Wind_Onshore,0.083224919438228,Europe and Central Asia,High income
Below2,EST,Estonia,2050,Wind_Onshore,0.0833904041576561,Europe and Central Asia,High income
Below2,FIN,Finland,2025,Wind_Onshore,0.0866393813121822,Europe and Central Asia,High income
Below2,FIN,Finland,2030,Wind_Onshore,0.0857015110695987,Europe and Central Asia,High income
Below2,FIN,Finland,2035,Wind_Onshore,0.0852689861716495,Europe and Central Asia,High income
Below2,FIN,Finland,2040,Wind_Onshore,0.0853168562905708,Europe and Central Asia,High income
Below2,FIN,Finland,2045,Wind_Onshore,0.0859434114873259,Europe and Central Asia,High income
Below2,FIN,Finland,2050,Wind_Onshore,0.0860874242368546,Europe and Central Asia,High income
Below2,FRA,France,2025,Wind_Onshore,0.0820092940325839,Europe and Central Asia,High income
Below2,FRA,France,2030,Wind_Onshore,0.0812537439074364,Europe and Central Asia,High income
Below2,FRA,France,2035,Wind_Onshore,0.0814389700744968,Europe and Central Asia,High income
Below2,FRA,France,2040,Wind_Onshore,0.0815612905517644,Europe and Central Asia,High income
Below2,FRA,France,2045,Wind_Onshore,0.0814029884716141,Europe and Central Asia,High income
Below2,FRA,France,2050,Wind_Onshore,0.0810783144383141,Europe and Central Asia,High income
Below2,GBR,United Kingdom,2025,Wind_Onshore,0.0791354314736817,Europe and Central Asia,High income
Below2,GBR,United Kingdom,2030,Wind_Onshore,0.0763867005538822,Europe and Central Asia,High income
Below2,GBR,United Kingdom,2035,Wind_Onshore,0.0754114945895604,Europe and Central Asia,High income
Below2,GBR,United Kingdom,2040,Wind_Onshore,0.0741232981659466,Europe and Central Asia,High income
Below2,GBR,United Kingdom,2045,Wind_Onshore,0.0733068038759088,Europe and Central Asia,High income
Below2,GBR,United Kingdom,2050,Wind_Onshore,0.0721205422402235,Europe and Central Asia,High income
Below2,GRC,Greece,2025,Wind_Onshore,0.0891659678549657,Europe and Central Asia,High income
Below2,GRC,Greece,2030,Wind_Onshore,0.0916602966552422,Europe and Central Asia,High income
Below2,GRC,Greece,2035,Wind_Onshore,0.0930280329875996,Europe and Central Asia,High income
Below2,GRC,Greece,2040,Wind_Onshore,0.0933127449328035,Europe and Central Asia,High income
Below2,GRC,Greece,2045,Wind_Onshore,0.093831956834265,Europe and Central Asia,High income
Below2,GRC,Greece,2050,Wind_Onshore,0.0936180388754696,Europe and Central Asia,High income
Below2,HKG,Hong Kong,2025,Wind_Onshore,0.0809057035580634,East Asia and Pacific,High income
Below2,HKG,Hong Kong,2030,Wind_Onshore,0.0792857544633351,East Asia and Pacific,High income
Below2,HKG,Hong Kong,2035,Wind_Onshore,0.0794029942526707,East Asia and Pacific,High income
Below2,HKG,Hong Kong,2040,Wind_Onshore,0.0790177707179075,East Asia and Pacific,High income
Below2,HKG,Hong Kong,2045,Wind_Onshore,0.0784616415825327,East Asia and Pacific,High income
Below2,HKG,Hong Kong,2050,Wind_Onshore,0.0781634858463205,East Asia and Pacific,High income
Below2,HRV,Croatia,2025,Wind_Onshore,0.083432208335971,Europe and Central Asia,High income
Below2,HRV,Croatia,2030,Wind_Onshore,0.0816033734275353,Europe and Central Asia,High income
Below2,HRV,Croatia,2035,Wind_Onshore,0.0832061746561606,Europe and Central Asia,High income
Below2,HRV,Croatia,2040,Wind_Onshore,0.0831390365635226,Europe and Central Asia,High income
Below2,HRV,Croatia,2045,Wind_Onshore,0.0838847385439555,Europe and Central Asia,High income
Below2,HRV,Croatia,2050,Wind_Onshore,0.0844408658357711,Europe and Central Asia,High income
Below2,HUN,Hungary,2025,Wind_Onshore,0.0859628144029004,Europe and Central Asia,High income
Below2,HUN,Hungary,2030,Wind_Onshore,0.0837135741796888,Europe and Central Asia,High income
Below2,HUN,Hungary,2035,Wind_Onshore,0.0804697043553563,Europe and Central Asia,High income
Below2,HUN,Hungary,2040,Wind_Onshore,0.0801967422861866,Europe and Central Asia,High income
Below2,HUN,Hungary,2045,Wind_Onshore,0.0810850343809276,Europe and Central Asia,High income
Below2,HUN,Hungary,2050,Wind_Onshore,0.0803634764545926,Europe and Central Asia,High income
Below2,IDN,Indonesia,2025,Wind_Onshore,0.0841399598860428,East Asia and Pacific,Lower middle income
Below2,IDN,Indonesia,2030,Wind_Onshore,0.0828012795813737,East Asia and Pacific,Lower middle income
Below2,IDN,Indonesia,2035,Wind_Onshore,0.0799991499810176,East Asia and Pacific,Lower middle income
Below2,IDN,Indonesia,2040,Wind_Onshore,0.0786352628263126,East Asia and Pacific,Lower middle income
Below2,IDN,Indonesia,2045,Wind_Onshore,0.0781264204295652,East Asia and Pacific,Lower middle income
Below2,IDN,Indonesia,2050,Wind_Onshore,0.0765525898837493,East Asia and Pacific,Lower middle income
Below2,IND,India,2025,Wind_Onshore,0.1088421021623199,South Asia,Lower middle income
Below2,IND,India,2030,Wind_Onshore,0.0966880921809064,South Asia,Lower middle income
Below2,IND,India,2035,Wind_Onshore,0.0908688879559572,South Asia,Lower middle income
Below2,IND,India,2040,Wind_Onshore,0.0850912972813131,South Asia,Lower middle income
Below2,IND,India,2045,Wind_Onshore,0.0778837017383896,South Asia,Lower middle income
Below2,IND,India,2050,Wind_Onshore,0.0688435836254431,South Asia,Lower middle income
Below2,IRL,Ireland,2025,Wind_Onshore,0.0827214481589087,Europe and Central Asia,High income
Below2,IRL,Ireland,2030,Wind_Onshore,0.0823173385898188,Europe and Central Asia,High income
Below2,IRL,Ireland,2035,Wind_Onshore,0.0798800117202044,Europe and Central Asia,High income
Below2,IRL,Ireland,2040,Wind_Onshore,0.0790465824162769,Europe and Central Asia,High income
Below2,IRL,Ireland,2045,Wind_Onshore,0.0790666637199271,Europe and Central Asia,High income
Below2,IRL,Ireland,2050,Wind_Onshore,0.0782712659162862,Europe and Central Asia,High income
Below2,ITA,Italy,2025,Wind_Onshore,0.08286983820212,Europe and Central Asia,High income
Below2,ITA,Italy,2030,Wind_Onshore,0.084831747236444,Europe and Central Asia,High income
Below2,ITA,Italy,2035,Wind_Onshore,0.0859047970468725,Europe and Central Asia,High income
Below2,ITA,Italy,2040,Wind_Onshore,0.0868606485771465,Europe and Central Asia,High income
Below2,ITA,Italy,2045,Wind_Onshore,0.0878263687196272,Europe and Central Asia,High income
Below2,ITA,Italy,2050,Wind_Onshore,0.0885530737875085,Europe and Central Asia,High income
Below2,JPN,Japan,2025,Wind_Onshore,0.0689443032019579,East Asia and Pacific,High income
Below2,JPN,Japan,2030,Wind_Onshore,0.0691333996580441,East Asia and Pacific,High income
Below2,JPN,Japan,2035,Wind_Onshore,0.0699463522080829,East Asia and Pacific,High income
Below2,JPN,Japan,2040,Wind_Onshore,0.0709734198715187,East Asia and Pacific,High income
Below2,JPN,Japan,2045,Wind_Onshore,0.0713951012997873,East Asia and Pacific,High income
Below2,JPN,Japan,2050,Wind_Onshore,0.0706976359075615,East Asia and Pacific,High income
Below2,KOR,South Korea,2025,Wind_Onshore,0.0759885847248308,East Asia and Pacific,High income
Below2,KOR,South Korea,2030,Wind_Onshore,0.074980946022715,East Asia and Pacific,High income
Below2,KOR,South Korea,2035,Wind_Onshore,0.0727300476490184,East Asia and Pacific,High income
Below2,KOR,South Korea,2040,Wind_Onshore,0.0735403758960748,East Asia and Pacific,High income
Below2,KOR,South Korea,2045,Wind_Onshore,0.07488015698343,East Asia and Pacific,High income
Below2,KOR,South Korea,2050,Wind_Onshore,0.0753470061568687,East Asia and Pacific,High income
Below2,LTU,Lithuania,2025,Wind_Onshore,0.084348870559193,Europe and Central Asia,High income
Below2,LTU,Lithuania,2030,Wind_Onshore,0.0824618698796946,Europe and Central Asia,High income
Below2,LTU,Lithuania,2035,Wind_Onshore,0.0817652417583271,Europe and Central Asia,High income
Below2,LTU,Lithuania,2040,Wind_Onshore,0.082951174619885,Europe and Central Asia,High income
Below2,LTU,Lithuania,2045,Wind_Onshore,0.0839327269587689,Europe and Central Asia,High income
Below2,LTU,Lithuania,2050,Wind_Onshore,0.0841801038543301,Europe and Central Asia,High income
Below2,LVA,Latvia,2025,Wind_Onshore,0.0836206701144205,Europe and Central Asia,High income
Below2,LVA,Latvia,2030,Wind_Onshore,0.0828121097871682,Europe and Central Asia,High income
Below2,LVA,Latvia,2035,Wind_Onshore,0.083084413727213,Europe and Central Asia,High income
Below2,LVA,Latvia,2040,Wind_Onshore,0.0838712722630679,Europe and Central Asia,High income
Below2,LVA,Latvia,2045,Wind_Onshore,0.0847153381581934,Europe and Central Asia,High income
Below2,LVA,Latvia,2050,Wind_Onshore,0.0851555351858369,Europe and Central Asia,High income
Below2,MEX,Mexico,2025,Wind_Onshore,0.0786855704265604,Latin America and Caribbean,Upper middle income
Below2,MEX,Mexico,2030,Wind_Onshore,0.0748558501975949,Latin America and Caribbean,Upper middle income
Below2,MEX,Mexico,2035,Wind_Onshore,0.0743299452587718,Latin America and Caribbean,Upper middle income
Below2,MEX,Mexico,2040,Wind_Onshore,0.0749272137091244,Latin America and Caribbean,Upper middle income
Below2,MEX,Mexico,2045,Wind_Onshore,0.0755394302504897,Latin America and Caribbean,Upper middle income
Below2,MEX,Mexico,2050,Wind_Onshore,0.0750600622019798,Latin America and Caribbean,Upper middle income
Below2,MYS,Malaysia,2025,Wind_Onshore,0.0789572059870061,East Asia and Pacific,Upper middle income
Below2,MYS,Malaysia,2030,Wind_Onshore,0.0782657379786371,East Asia and Pacific,Upper middle income
Below2,MYS,Malaysia,2035,Wind_Onshore,0.0783597910543939,East Asia and Pacific,Upper middle income
Below2,MYS,Malaysia,2040,Wind_Onshore,0.0776090872073884,East Asia and Pacific,Upper middle income
Below2,MYS,Malaysia,2045,Wind_Onshore,0.0773252881338,East Asia and Pacific,Upper middle income
Below2,MYS,Malaysia,2050,Wind_Onshore,0.0773142658899731,East Asia and Pacific,Upper middle income
Below2,NLD,Netherlands,2025,Wind_Onshore,0.0784576843459286,Europe and Central Asia,High income
Below2,NLD,Netherlands,2030,Wind_Onshore,0.0812121914946825,Europe and Central Asia,High income
Below2,NLD,Netherlands,2035,Wind_Onshore,0.0827638007469766,Europe and Central Asia,High income
Below2,NLD,Netherlands,2040,Wind_Onshore,0.0831531624624371,Europe and Central Asia,High income
Below2,NLD,Netherlands,2045,Wind_Onshore,0.0833529261569612,Europe and Central Asia,High income
Below2,NLD,Netherlands,2050,Wind_Onshore,0.0833571560176146,Europe and Central Asia,High income
Below2,NOR,Norway,2025,Wind_Onshore,0.0810749089709691,Europe and Central Asia,High income
Below2,NOR,Norway,2030,Wind_Onshore,0.0786464932591824,Europe and Central Asia,High income
Below2,NOR,Norway,2035,Wind_Onshore,0.0769266338499817,Europe and Central Asia,High income
Below2,NOR,Norway,2040,Wind_Onshore,0.0771021990640648,Europe and Central Asia,High income
Below2,NOR,Norway,2045,Wind_Onshore,0.0782089823365341,Europe and Central Asia,High income
Below2,NOR,Norway,2050,Wind_Onshore,0.0789295570370001,Europe and Central Asia,High income
Below2,NZL,New Zealand,2025,Wind_Onshore,0.082406530176435,East Asia and Pacific,High income
Below2,NZL,New Zealand,2030,Wind_Onshore,0.0769365500364281,East Asia and Pacific,High income
Below2,NZL,New Zealand,2035,Wind_Onshore,0.0759884617697907,East Asia and Pacific,High income
Below2,NZL,New Zealand,2040,Wind_Onshore,0.0765915263730302,East Asia and Pacific,High income
Below2,NZL,New Zealand,2045,Wind_Onshore,0.0778622718169473,East Asia and Pacific,High income
Below2,NZL,New Zealand,2050,Wind_Onshore,0.0780961456313388,East Asia and Pacific,High income
Below2,POL,Poland,2025,Wind_Onshore,0.0818221770503411,Europe and Central Asia,High income
Below2,POL,Poland,2030,Wind_Onshore,0.0777196546285446,Europe and Central Asia,High income
Below2,POL,Poland,2035,Wind_Onshore,0.0732989114330086,Europe and Central Asia,High income
Below2,POL,Poland,2040,Wind_Onshore,0.0732598695171678,Europe and Central Asia,High income
Below2,POL,Poland,2045,Wind_Onshore,0.0751317575330962,Europe and Central Asia,High income
Below2,POL,Poland,2050,Wind_Onshore,0.0765242770741651,Europe and Central Asia,High income
Below2,PRT,Portugal,2025,Wind_Onshore,0.0850008562875449,Europe and Central Asia,High income
Below2,PRT,Portugal,2030,Wind_Onshore,0.0856296692690471,Europe and Central Asia,High income
Below2,PRT,Portugal,2035,Wind_Onshore,0.0870343165251091,Europe and Central Asia,High income
Below2,PRT,Portugal,2040,Wind_Onshore,0.0876293063997613,Europe and Central Asia,High income
Below2,PRT,Portugal,2045,Wind_Onshore,0.0878193803778869,Europe and Central Asia,High income
Below2,PRT,Portugal,2050,Wind_Onshore,0.0877905717188713,Europe and Central Asia,High income
Below2,ROU,Romania,2025,Wind_Onshore,0.0820438174842718,Europe and Central Asia,Upper middle income
Below2,ROU,Romania,2030,Wind_Onshore,0.07832556038142,Europe and Central Asia,Upper middle income
Below2,ROU,Romania,2035,Wind_Onshore,0.0781703195967272,Europe and Central Asia,Upper middle income
Below2,ROU,Romania,2040,Wind_Onshore,0.0777958690223314,Europe and Central Asia,Upper middle income
Below2,ROU,Romania,2045,Wind_Onshore,0.0782116959660797,Europe and Central Asia,Upper middle income
Below2,ROU,Romania,2050,Wind_Onshore,0.0784965152098158,Europe and Central Asia,Upper middle income
Below2,RUS,Russia,2025,Wind_Onshore,0.0831634710191573,Europe and Central Asia,Upper middle income
Below2,RUS,Russia,2030,Wind_Onshore,0.0748055165718644,Europe and Central Asia,Upper middle income
Below2,RUS,Russia,2035,Wind_Onshore,0.0737745755153089,Europe and Central Asia,Upper middle income
Below2,RUS,Russia,2040,Wind_Onshore,0.0729644327598464,Europe and Central Asia,Upper middle income
Below2,RUS,Russia,2045,Wind_Onshore,0.073101676966643,Europe and Central Asia,Upper middle income
Below2,RUS,Russia,2050,Wind_Onshore,0.0726904721204094,Europe and Central Asia,Upper middle income
Below2,SGP,Singapore,2025,Wind_Onshore,0.077183009763402,East Asia and Pacific,High income
Below2,SGP,Singapore,2030,Wind_Onshore,0.0757569681717129,East Asia and Pacific,High income
Below2,SGP,Singapore,2035,Wind_Onshore,0.0768263530426923,East Asia and Pacific,High income
Below2,SGP,Singapore,2040,Wind_Onshore,0.0771712092758763,East Asia and Pacific,High income
Below2,SGP,Singapore,2045,Wind_Onshore,0.078420212718923,East Asia and Pacific,High income
Below2,SGP,Singapore,2050,Wind_Onshore,0.0776706929818834,East Asia and Pacific,High income
Below2,SVK,Slovakia,2025,Wind_Onshore,0.0845785998532701,Europe and Central Asia,High income
Below2,SVK,Slovakia,2030,Wind_Onshore,0.0830605006440252,Europe and Central Asia,High income
Below2,SVK,Slovakia,2035,Wind_Onshore,0.0827725421496819,Europe and Central Asia,High income
Below2,SVK,Slovakia,2040,Wind_Onshore,0.0819475923987172,Europe and Central Asia,High income
Below2,SVK,Slovakia,2045,Wind_Onshore,0.0816760800278306,Europe and Central Asia,High income
Below2,SVK,Slovakia,2050,Wind_Onshore,0.0814841190647787,Europe and Central Asia,High income
Below2,SVN,Slovenia,2025,Wind_Onshore,0.0794722457193701,Europe and Central Asia,High income
Below2,SVN,Slovenia,2030,Wind_Onshore,0.0803386415919913,Europe and Central Asia,High income
Below2,SVN,Slovenia,2035,Wind_Onshore,0.0794958462805344,Europe and Central Asia,High income
Below2,SVN,Slovenia,2040,Wind_Onshore,0.0800587076393104,Europe and Central Asia,High income
Below2,SVN,Slovenia,2045,Wind_Onshore,0.0809823876276076,Europe and Central Asia,High income
Below2,SVN,Slovenia,2050,Wind_Onshore,0.0808808280058419,Europe and Central Asia,High income
Below2,SWE,Sweden,2025,Wind_Onshore,0.0879668846220549,Europe and Central Asia,High income
Below2,SWE,Sweden,2030,Wind_Onshore,0.0851860758054166,Europe and Central Asia,High income
Below2,SWE,Sweden,2035,Wind_Onshore,0.084721015754882,Europe and Central Asia,High income
Below2,SWE,Sweden,2040,Wind_Onshore,0.0844468571898894,Europe and Central Asia,High income
Below2,SWE,Sweden,2045,Wind_Onshore,0.0842318188326305,Europe and Central Asia,High income
Below2,SWE,Sweden,2050,Wind_Onshore,0.0840347844275071,Europe and Central Asia,High income
Below2,TWN,Taiwan,2025,Wind_Onshore,0.0768720498875958,East Asia and Pacific,High income
Below2,TWN,Taiwan,2030,Wind_Onshore,0.0766660724537135,East Asia and Pacific,High income
Below2,TWN,Taiwan,2035,Wind_Onshore,0.0761839089204011,East Asia and Pacific,High income
Below2,TWN,Taiwan,2040,Wind_Onshore,0.0764564466729514,East Asia and Pacific,High income
Below2,TWN,Taiwan,2045,Wind_Onshore,0.077421237099913,East Asia and Pacific,High income
Below2,TWN,Taiwan,2050,Wind_Onshore,0.0783168846990564,East Asia and Pacific,High income
Below2,USA,United States,2025,Wind_Onshore,0.0429319354770214,North America,High income
Below2,USA,United States,2030,Wind_Onshore,0.03956266861436,North America,High income
Below2,USA,United States,2035,Wind_Onshore,0.0368962833830689,North America,High income
Below2,USA,United States,2040,Wind_Onshore,0.0341210742308538,North America,High income
Below2,USA,United States,2045,Wind_Onshore,0.0314592597484572,North America,High income
Below2,USA,United States,2050,Wind_Onshore,0.0281858514303305,North America,High income
Below2,VNM,Vietnam,2025,Wind_Onshore,0.0812941035351356,East Asia and Pacific,Lower middle income
Below2,VNM,Vietnam,2030,Wind_Onshore,0.081170734284617,East Asia and Pacific,Lower middle income
Below2,VNM,Vietnam,2035,Wind_Onshore,0.077142008286688,East Asia and Pacific,Lower middle income
Below2,VNM,Vietnam,2040,Wind_Onshore,0.0762206264402119,East Asia and Pacific,Lower middle income
Below2,VNM,Vietnam,2045,Wind_Onshore,0.0763705582876945,East Asia and Pacific,Lower middle income
Below2,VNM,Vietnam,2050,Wind_Onshore,0.0757145700414576,East Asia and Pacific,Lower middle income
Below2,ZAF,South Africa,2025,Wind_Onshore,0.1299712461054397,Sub-Saharan Africa,Upper middle income
Below2,ZAF,South Africa,2030,Wind_Onshore,0.1247064227647919,Sub-Saharan Africa,Upper middle income
Below2,ZAF,South Africa,2035,Wind_Onshore,0.1242115983434024,Sub-Saharan Africa,Upper middle income
Below2,ZAF,South Africa,2040,Wind_Onshore,0.1239946471581519,Sub-Saharan Africa,Upper middle income
Below2,ZAF,South Africa,2045,Wind_Onshore,0.1237713552693237,Sub-Saharan Africa,Upper middle income
Below2,ZAF,South Africa,2050,Wind_Onshore,0.1230639394125248,Sub-Saharan Africa,Upper middle income
Delayed transition,ARG,Argentina,2025,Wind_Onshore,0.3572641556060519,Latin America and Caribbean,Upper middle income
Delayed transition,ARG,Argentina,2030,Wind_Onshore,0.0800219359697473,Latin America and Caribbean,Upper middle income
Delayed transition,ARG,Argentina,2035,Wind_Onshore,0.075059528766727,Latin America and Caribbean,Upper middle income
Delayed transition,ARG,Argentina,2040,Wind_Onshore,0.0808032452632548,Latin America and Caribbean,Upper middle income
