Technology,Scenario,Region,2025,2030,2050
Wind_Onshore,Below2,East Asia and Pacific,0.0665,0.0655,0.0661
Wind_Onshore,Below2,Europe and Central Asia,0.0699,0.0688,0.0696
Wind_Onshore,Below2,Latin America and Caribbean,0.1394,0.0678,0.0705
Wind_Onshore,Below2,Middle East and North Africa,0.1243,0.0665,0.0694
Wind_Onshore,Below2,North America,0.0691,0.0683,0.0683
Wind_Onshore,Below2,South Asia,0.0784,0.0707,0.0727
Wind_Onshore,Below2,Sub-Saharan Africa,0.1151,0.1098,0.1093
Wind_Onshore,Delayed transition,East Asia and Pacific,0.0659,0.0652,0.0665
Wind_Onshore,Delayed transition,Europe and Central Asia,0.0697,0.0687,0.0699
Wind_Onshore,Delayed transition,Latin America and Caribbean,0.1394,0.0677,0.0706
Wind_Onshore,Delayed transition,Middle East and North Africa,0.1218,0.0662,0.0698
Wind_Onshore,Delayed transition,North America,0.0682,0.0675,0.0688
Wind_Onshore,Delayed transition,South Asia,0.0783,0.0706,0.0729
Wind_Onshore,Delayed transition,Sub-Saharan Africa,0.115,0.1099,0.1102
Wind_Onshore,NDC,East Asia and Pacific,0.0661,0.0653,0.0667
Wind_Onshore,NDC,Europe and Central Asia,0.0699,0.0688,0.0699
Wind_Onshore,NDC,Latin America and Caribbean,0.1396,0.0678,0.0711
Wind_Onshore,NDC,Middle East and North Africa,0.1222,0.0663,0.0704
Wind_Onshore,NDC,North America,0.0686,0.0683,0.0686
Wind_Onshore,NDC,South Asia,0.0785,0.0706,0.0732
Wind_Onshore,NDC,Sub-Saharan Africa,0.1152,0.1099,0.1098
Wind_Onshore,Netzero,East Asia and Pacific,0.0667,0.0656,0.0659
Wind_Onshore,Netzero,Europe and Central Asia,0.0699,0.0688,0.0696
Wind_Onshore,Netzero,Latin America and Caribbean,0.1394,0.0678,0.0705
Wind_Onshore,Netzero,Middle East and North Africa,0.1251,0.0666,0.0683
Wind_Onshore,Netzero,North America,0.0694,0.0685,0.0684
Wind_Onshore,Netzero,South Asia,0.0784,0.0707,0.0727
Wind_Onshore,Netzero,Sub-Saharan Africa,0.1152,0.1097,0.1099
