Scenario,ISO,Country,Variable,Year,Value
Below2,IDN,Indonesia,unemployment,Year,2022
Below2,IDN,Indonesia,inflation,Year,2022
Below2,IRL,Ireland,unemployment,Year,2022
Below2,IRL,Ireland,inflation,Year,2022
Below2,ITA,Italy,unemployment,Year,2022
Below2,ITA,Italy,inflation,Year,2022
Below2,JPN,Japan,unemployment,Year,2022
Below2,JPN,Japan,inflation,Year,2022
Below2,LVA,Latvia,unemployment,Year,2022
Below2,LVA,Latvia,inflation,Year,2022
Below2,LTU,Lithuania,unemployment,Year,2022
Below2,LTU,Lithuania,inflation,Year,2022
Below2,MYS,Malaysia,unemployment,Year,2022
Below2,MYS,Malaysia,inflation,Year,2022
Below2,MEX,Mexico,unemployment,Year,2022
Below2,MEX,Mexico,inflation,Year,2022
Below2,NLD,Netherlands,unemployment,Year,2022
Below2,NLD,Netherlands,inflation,Year,2022
Below2,NZL,New Zealand,unemployment,Year,2022
Below2,NZL,New Zealand,inflation,Year,2022
Below2,NOR,Norway,unemployment,Year,2022
Below2,NOR,Norway,inflation,Year,2022
Below2,POL,Poland,unemployment,Year,2022
Below2,POL,Poland,inflation,Year,2022
Below2,PRT,Portugal,unemployment,Year,2022
Below2,PRT,Portugal,inflation,Year,2022
Below2,ROU,Romania,unemployment,Year,2022
Below2,ROU,Romania,inflation,Year,2022
Below2,RUS,Russia,unemployment,Year,2022
Below2,RUS,Russia,inflation,Year,2022
Below2,SGP,Singapore,unemployment,Year,2022
Below2,SGP,Singapore,inflation,Year,2022
Below2,SVK,Slovakia,unemployment,Year,2022
Below2,SVK,Slovakia,inflation,Year,2022
Below2,SVN,Slovenia,unemployment,Year,2022
Below2,SVN,Slovenia,inflation,Year,2022
Below2,ZAF,South Africa,unemployment,Year,2022
Below2,ZAF,South Africa,inflation,Year,2022
Below2,KOR,South Korea,unemployment,Year,2022
Below2,KOR,South Korea,inflation,Year,2022
Below2,ESP,Spain,unemployment,Year,2022
Below2,ESP,Spain,inflation,Year,2022
Below2,SWE,Sweden,unemployment,Year,2022
Below2,SWE,Sweden,inflation,Year,2022
Below2,CHE,Switzerland,unemployment,Year,2022
Below2,CHE,Switzerland,inflation,Year,2022
Below2,TWN,Taiwan,unemployment,Year,2022
Below2,TWN,Taiwan,inflation,Year,2022
Below2,GBR,United Kingdom,unemployment,Year,2022
Below2,GBR,United Kingdom,inflation,Year,2022
Below2,USA,United States,unemployment,Year,2022
Below2,USA,United States,inflation,Year,2022
Below2,VNM,Viet Nam,unemployment,Year,2022
Below2,VNM,Viet Nam,inflation,Year,2022
Delayed transition,ARG,Argentina,unemployment,Year,2022
Delayed transition,ARG,Argentina,inflation,Year,2022
Delayed transition,AUS,Australia,unemployment,Year,2022
Delayed transition,AUS,Australia,inflation,Year,2022
Delayed transition,AUT,Austria,unemployment,Year,2022
Delayed transition,AUT,Austria,inflation,Year,2022
Delayed transition,BEL,Belgium,unemployment,Year,2022
Delayed transition,BEL,Belgium,inflation,Year,2022
Delayed transition,BRA,Brazil,unemployment,Year,2022
Delayed transition,BRA,Brazil,inflation,Year,2022
Delayed transition,BGR,Bulgaria,unemployment,Year,2022
Delayed transition,BGR,Bulgaria,inflation,Year,2022
Delayed transition,CAN,Canada,unemployment,Year,2022
Delayed transition,CAN,Canada,inflation,Year,2022
Delayed transition,CHL,Chile,unemployment,Year,2022
Delayed transition,CHL,Chile,inflation,Year,2022
Delayed transition,CHN,China,unemployment,Year,2022
Delayed transition,CHN,China,inflation,Year,2022
Delayed transition,HRV,Croatia,unemployment,Year,2022
Delayed transition,HRV,Croatia,inflation,Year,2022
Delayed transition,CZE,Czech Republic,unemployment,Year,2022
Delayed transition,CZE,Czech Republic,inflation,Year,2022
Delayed transition,DNK,Denmark,unemployment,Year,2022
Delayed transition,DNK,Denmark,inflation,Year,2022
Delayed transition,EGY,Egypt,unemployment,Year,2022
Delayed transition,EGY,Egypt,inflation,Year,2022
Delayed transition,EST,Estonia,unemployment,Year,2022
Delayed transition,EST,Estonia,inflation,Year,2022
Delayed transition,FIN,Finland,unemployment,Year,2022
Delayed transition,FIN,Finland,inflation,Year,2022
Delayed transition,FRA,France,unemployment,Year,2022
Delayed transition,FRA,France,inflation,Year,2022
Delayed transition,DEU,Germany,unemployment,Year,2022
Delayed transition,DEU,Germany,inflation,Year,2022
Delayed transition,GRC,Greece,unemployment,Year,2022
Delayed transition,GRC,Greece,inflation,Year,2022
Delayed transition,HKG,Hong Kong,unemployment,Year,2022
Delayed transition,HKG,Hong Kong,inflation,Year,2022
Delayed transition,HUN,Hungary,unemployment,Year,2022
Delayed transition,HUN,Hungary,inflation,Year,2022
Delayed transition,IND,India,unemployment,Year,2022
Delayed transition,IND,India,inflation,Year,2022
Delayed transition,IDN,Indonesia,unemployment,Year,2022
Delayed transition,IDN,Indonesia,inflation,Year,2022
Delayed transition,IRL,Ireland,unemployment,Year,2022
Delayed transition,IRL,Ireland,inflation,Year,2022
Delayed transition,ITA,Italy,unemployment,Year,2022
Delayed transition,ITA,Italy,inflation,Year,2022
Delayed transition,JPN,Japan,unemployment,Year,2022
Delayed transition,JPN,Japan,inflation,Year,2022
Delayed transition,LVA,Latvia,unemployment,Year,2022
Delayed transition,LVA,Latvia,inflation,Year,2022
Delayed transition,LTU,Lithuania,unemployment,Year,2022
Delayed transition,LTU,Lithuania,inflation,Year,2022
Delayed transition,MYS,Malaysia,unemployment,Year,2022
Delayed transition,MYS,Malaysia,inflation,Year,2022
Delayed transition,MEX,Mexico,unemployment,Year,2022
Delayed transition,MEX,Mexico,inflation,Year,2022
Delayed transition,NLD,Netherlands,unemployment,Year,2022
Delayed transition,NLD,Netherlands,inflation,Year,2022
Delayed transition,NZL,New Zealand,unemployment,Year,2022
Delayed transition,NZL,New Zealand,inflation,Year,2022
Delayed transition,NOR,Norway,unemployment,Year,2022
Delayed transition,NOR,Norway,inflation,Year,2022
Delayed transition,POL,Poland,unemployment,Year,2022
Delayed transition,POL,Poland,inflation,Year,2022
Delayed transition,PRT,Portugal,unemployment,Year,2022
Delayed transition,PRT,Portugal,inflation,Year,2022
Delayed transition,ROU,Romania,unemployment,Year,2022
Delayed transition,ROU,Romania,inflation,Year,2022
Delayed transition,RUS,Russia,unemployment,Year,2022
Delayed transition,RUS,Russia,inflation,Year,2022
Delayed transition,SGP,Singapore,unemployment,Year,2022
Delayed transition,SGP,Singapore,inflation,Year,2022
Delayed transition,SVK,Slovakia,unemployment,Year,2022
Delayed transition,SVK,Slovakia,inflation,Year,2022
Delayed transition,SVN,Slovenia,unemployment,Year,2022
Delayed transition,SVN,Slovenia,inflation,Year,2022
Delayed transition,ZAF,South Africa,unemployment,Year,2022
Delayed transition,ZAF,South Africa,inflation,Year,2022
Delayed transition,KOR,South Korea,unemployment,Year,2022
Delayed transition,KOR,South Korea,inflation,Year,2022
Delayed transition,ESP,Spain,unemployment,Year,2022
Delayed transition,ESP,Spain,inflation,Year,2022
Delayed transition,SWE,Sweden,unemployment,Year,2022
Delayed transition,SWE,Sweden,inflation,Year,2022
Delayed transition,CHE,Switzerland,unemployment,Year,2022
Delayed transition,CHE,Switzerland,inflation,Year,2022
Delayed transition,TWN,Taiwan,unemployment,Year,2022
Delayed transition,TWN,Taiwan,inflation,Year,2022
Delayed transition,GBR,United Kingdom,unemployment,Year,2022
Delayed transition,GBR,United Kingdom,inflation,Year,2022
Delayed transition,USA,United States,unemployment,Year,2022
Delayed transition,USA,United States,inflation,Year,2022
Delayed transition,VNM,Viet Nam,unemployment,Year,2022
Delayed transition,VNM,Viet Nam,inflation,Year,2022
Fragmented World,ARG,Argentina,unemployment,Year,2022
Fragmented World,ARG,Argentina,inflation,Year,2022
Fragmented World,AUS,Australia,unemployment,Year,2022
Fragmented World,AUS,Australia,inflation,Year,2022
Fragmented World,AUT,Austria,unemployment,Year,2022
Fragmented World,AUT,Austria,inflation,Year,2022
Fragmented World,BEL,Belgium,unemployment,Year,2022
Fragmented World,BEL,Belgium,inflation,Year,2022
Fragmented World,BRA,Brazil,unemployment,Year,2022
Fragmented World,BRA,Brazil,inflation,Year,2022
Fragmented World,BGR,Bulgaria,unemployment,Year,2022
Fragmented World,BGR,Bulgaria,inflation,Year,2022
Fragmented World,CAN,Canada,unemployment,Year,2022
Fragmented World,CAN,Canada,inflation,Year,2022
Fragmented World,CHL,Chile,unemployment,Year,2022
Fragmented World,CHL,Chile,inflation,Year,2022
Fragmented World,CHN,China,unemployment,Year,2022
Fragmented World,CHN,China,inflation,Year,2022
Fragmented World,HRV,Croatia,unemployment,Year,2022
Fragmented World,HRV,Croatia,inflation,Year,2022
Fragmented World,CZE,Czech Republic,unemployment,Year,2022
Fragmented World,CZE,Czech Republic,inflation,Year,2022
Fragmented World,DNK,Denmark,unemployment,Year,2022
Fragmented World,DNK,Denmark,inflation,Year,2022
Fragmented World,EGY,Egypt,unemployment,Year,2022
Fragmented World,EGY,Egypt,inflation,Year,2022
Fragmented World,EST,Estonia,unemployment,Year,2022
Fragmented World,EST,Estonia,inflation,Year,2022
Fragmented World,FIN,Finland,unemployment,Year,2022
Fragmented World,FIN,Finland,inflation,Year,2022
Fragmented World,FRA,France,unemployment,Year,2022
Fragmented World,FRA,France,inflation,Year,2022
Fragmented World,DEU,Germany,unemployment,Year,2022
Fragmented World,DEU,Germany,inflation,Year,2022
Fragmented World,GRC,Greece,unemployment,Year,2022
Fragmented World,GRC,Greece,inflation,Year,2022
Fragmented World,HKG,Hong Kong,unemployment,Year,2022
Fragmented World,HKG,Hong Kong,inflation,Year,2022
Fragmented World,HUN,Hungary,unemployment,Year,2022
Fragmented World,HUN,Hungary,inflation,Year,2022
Fragmented World,IND,India,unemployment,Year,2022
Fragmented World,IND,India,inflation,Year,2022
Fragmented World,IDN,Indonesia,unemployment,Year,2022
Fragmented World,IDN,Indonesia,inflation,Year,2022
Fragmented World,IRL,Ireland,unemployment,Year,2022
Fragmented World,IRL,Ireland,inflation,Year,2022
Fragmented World,ITA,Italy,unemployment,Year,2022
Fragmented World,ITA,Italy,inflation,Year,2022
Fragmented World,JPN,Japan,unemployment,Year,2022
Fragmented World,JPN,Japan,inflation,Year,2022
Fragmented World,LVA,Latvia,unemployment,Year,2022
Fragmented World,LVA,Latvia,inflation,Year,2022
Fragmented World,LTU,Lithuania,unemployment,Year,2022
Fragmented World,LTU,Lithuania,inflation,Year,2022
Fragmented World,MYS,Malaysia,unemployment,Year,2022
Fragmented World,MYS,Malaysia,inflation,Year,2022
Fragmented World,MEX,Mexico,unemployment,Year,2022
Fragmented World,MEX,Mexico,inflation,Year,2022
Fragmented World,NLD,Netherlands,unemployment,Year,2022
Fragmented World,NLD,Netherlands,inflation,Year,2022
Fragmented World,NZL,New Zealand,unemployment,Year,2022
Fragmented World,NZL,New Zealand,inflation,Year,2022
Fragmented World,NOR,Norway,unemployment,Year,2022
Fragmented World,NOR,Norway,inflation,Year,2022
Fragmented World,POL,Poland,unemployment,Year,2022
Fragmented World,POL,Poland,inflation,Year,2022
Fragmented World,PRT,Portugal,unemployment,Year,2022
Fragmented World,PRT,Portugal,inflation,Year,2022
Fragmented World,ROU,Romania,unemployment,Year,2022
Fragmented World,ROU,Romania,inflation,Year,2022
Fragmented World,RUS,Russia,unemployment,Year,2022
Fragmented World,RUS,Russia,inflation,Year,2022
Fragmented World,SGP,Singapore,unemployment,Year,2022
Fragmented World,SGP,Singapore,inflation,Year,2022
Fragmented World,SVK,Slovakia,unemployment,Year,2022
Fragmented World,SVK,Slovakia,inflation,Year,2022
Fragmented World,SVN,Slovenia,unemployment,Year,2022
Fragmented World,SVN,Slovenia,inflation,Year,2022
Fragmented World,ZAF,South Africa,unemployment,Year,2022
Fragmented World,ZAF,South Africa,inflation,Year,2022
Fragmented World,KOR,South Korea,unemployment,Year,2022
Fragmented World,KOR,South Korea,inflation,Year,2022
Fragmented World,ESP,Spain,unemployment,Year,2022
Fragmented World,ESP,Spain,inflation,Year,2022
Fragmented World,SWE,Sweden,unemployment,Year,2022
Fragmented World,SWE,Sweden,inflation,Year,2022
Fragmented World,CHE,Switzerland,unemployment,Year,2022
Fragmented World,CHE,Switzerland,inflation,Year,2022
Fragmented World,TWN,Taiwan,unemployment,Year,2022
Fragmented World,TWN,Taiwan,inflation,Year,2022
Fragmented World,GBR,United Kingdom,unemployment,Year,2022
Fragmented World,GBR,United Kingdom,inflation,Year,2022
Fragmented World,USA,United States,unemployment,Year,2022
Fragmented World,USA,United States,inflation,Year,2022
Fragmented World,VNM,Viet Nam,unemployment,Year,2022
Fragmented World,VNM,Viet Nam,inflation,Year,2022
NDC,ARG,Argentina,unemployment,Year,2022
NDC,ARG,Argentina,inflation,Year,2022
NDC,AUS,Australia,unemployment,Year,2022
NDC,AUS,Australia,inflation,Year,2022
NDC,AUT,Austria,unemployment,Year,2022
NDC,AUT,Austria,inflation,Year,2022
NDC,BEL,Belgium,unemployment,Year,2022
NDC,BEL,Belgium,inflation,Year,2022
NDC,BRA,Brazil,unemployment,Year,2022
NDC,BRA,Brazil,inflation,Year,2022
NDC,BGR,Bulgaria,unemployment,Year,2022
NDC,BGR,Bulgaria,inflation,Year,2022
NDC,CAN,Canada,unemployment,Year,2022
NDC,CAN,Canada,inflation,Year,2022
NDC,CHL,Chile,unemployment,Year,2022
NDC,CHL,Chile,inflation,Year,2022
NDC,CHN,China,unemployment,Year,2022
NDC,CHN,China,inflation,Year,2022
NDC,HRV,Croatia,unemployment,Year,2022
NDC,HRV,Croatia,inflation,Year,2022
NDC,CZE,Czech Republic,unemployment,Year,2022
NDC,CZE,Czech Republic,inflation,Year,2022
NDC,DNK,Denmark,unemployment,Year,2022
NDC,DNK,Denmark,inflation,Year,2022
NDC,EGY,Egypt,unemployment,Year,2022
NDC,EGY,Egypt,inflation,Year,2022
NDC,EST,Estonia,unemployment,Year,2022
NDC,EST,Estonia,inflation,Year,2022
NDC,FIN,Finland,unemployment,Year,2022
NDC,FIN,Finland,inflation,Year,2022
NDC,FRA,France,unemployment,Year,2022
NDC,FRA,France,inflation,Year,2022
NDC,DEU,Germany,unemployment,Year,2022
NDC,DEU,Germany,inflation,Year,2022
NDC,GRC,Greece,unemployment,Year,2022
NDC,GRC,Greece,inflation,Year,2022
NDC,HKG,Hong Kong,unemployment,Year,2022
NDC,HKG,Hong Kong,inflation,Year,2022
NDC,HUN,Hungary,unemployment,Year,2022
NDC,HUN,Hungary,inflation,Year,2022
NDC,IND,India,unemployment,Year,2022
NDC,IND,India,inflation,Year,2022
NDC,IDN,Indonesia,unemployment,Year,2022
NDC,IDN,Indonesia,inflation,Year,2022
NDC,IRL,Ireland,unemployment,Year,2022
NDC,IRL,Ireland,inflation,Year,2022
NDC,ITA,Italy,unemployment,Year,2022
NDC,ITA,Italy,inflation,Year,2022
NDC,JPN,Japan,unemployment,Year,2022
NDC,JPN,Japan,inflation,Year,2022
NDC,LVA,Latvia,unemployment,Year,2022
NDC,LVA,Latvia,inflation,Year,2022
NDC,LTU,Lithuania,unemployment,Year,2022
NDC,LTU,Lithuania,inflation,Year,2022
NDC,MYS,Malaysia,unemployment,Year,2022
NDC,MYS,Malaysia,inflation,Year,2022
NDC,MEX,Mexico,unemployment,Year,2022
NDC,MEX,Mexico,inflation,Year,2022
NDC,NLD,Netherlands,unemployment,Year,2022
NDC,NLD,Netherlands,inflation,Year,2022
NDC,NZL,New Zealand,unemployment,Year,2022
NDC,NZL,New Zealand,inflation,Year,2022
NDC,NOR,Norway,unemployment,Year,2022
NDC,NOR,Norway,inflation,Year,2022
NDC,POL,Poland,unemployment,Year,2022
NDC,POL,Poland,inflation,Year,2022
NDC,PRT,Portugal,unemployment,Year,2022
NDC,PRT,Portugal,inflation,Year,2022
NDC,ROU,Romania,unemployment,Year,2022
NDC,ROU,Romania,inflation,Year,2022
NDC,RUS,Russia,unemployment,Year,2022
NDC,RUS,Russia,inflation,Year,2022
NDC,SGP,Singapore,unemployment,Year,2022
NDC,SGP,Singapore,inflation,Year,2022
NDC,SVK,Slovakia,unemployment,Year,2022
NDC,SVK,Slovakia,inflation,Year,2022
NDC,SVN,Slovenia,unemployment,Year,2022
NDC,SVN,Slovenia,inflation,Year,2022
NDC,ZAF,South Africa,unemployment,Year,2022
NDC,ZAF,South Africa,inflation,Year,2022
NDC,KOR,South Korea,unemployment,Year,2022
NDC,KOR,South Korea,inflation,Year,2022
NDC,ESP,Spain,unemployment,Year,2022
NDC,ESP,Spain,inflation,Year,2022
NDC,SWE,Sweden,unemployment,Year,2022
NDC,SWE,Sweden,inflation,Year,2022
NDC,CHE,Switzerland,unemployment,Year,2022
NDC,CHE,Switzerland,inflation,Year,2022
NDC,TWN,Taiwan,unemployment,Year,2022
NDC,TWN,Taiwan,inflation,Year,2022
NDC,GBR,United Kingdom,unemployment,Year,2022
NDC,GBR,United Kingdom,inflation,Year,2022
NDC,USA,United States,unemployment,Year,2022
NDC,USA,United States,inflation,Year,2022
NDC,VNM,Viet Nam,unemployment,Year,2022
NDC,VNM,Viet Nam,inflation,Year,2022
Netzero,ARG,Argentina,unemployment,Year,2022
Netzero,ARG,Argentina,inflation,Year,2022
Netzero,AUS,Australia,unemployment,Year,2022
Netzero,AUS,Australia,inflation,Year,2022
Netzero,AUT,Austria,unemployment,Year,2022
Netzero,AUT,Austria,inflation,Year,2022
Netzero,BEL,Belgium,unemployment,Year,2022
Netzero,BEL,Belgium,inflation,Year,2022
Netzero,BRA,Brazil,unemployment,Year,2022
Netzero,BRA,Brazil,inflation,Year,2022
Netzero,BGR,Bulgaria,unemployment,Year,2022
Netzero,BGR,Bulgaria,inflation,Year,2022
Netzero,CAN,Canada,unemployment,Year,2022
Netzero,CAN,Canada,inflation,Year,2022
Netzero,CHL,Chile,unemployment,Year,2022
Netzero,CHL,Chile,inflation,Year,2022
Netzero,CHN,China,unemployment,Year,2022
Netzero,CHN,China,inflation,Year,2022
Netzero,HRV,Croatia,unemployment,Year,2022
Netzero,HRV,Croatia,inflation,Year,2022
Netzero,CZE,Czech Republic,unemployment,Year,2022
Netzero,CZE,Czech Republic,inflation,Year,2022
Netzero,DNK,Denmark,unemployment,Year,2022
Netzero,DNK,Denmark,inflation,Year,2022
Netzero,EGY,Egypt,unemployment,Year,2022
Netzero,EGY,Egypt,inflation,Year,2022
Netzero,EST,Estonia,unemployment,Year,2022
Netzero,EST,Estonia,inflation,Year,2022
Netzero,FIN,Finland,unemployment,Year,2022
Netzero,FIN,Finland,inflation,Year,2022
Netzero,FRA,France,unemployment,Year,2022
Netzero,FRA,France,inflation,Year,2022
Netzero,DEU,Germany,unemployment,Year,2022
Netzero,DEU,Germany,inflation,Year,2022
Netzero,GRC,Greece,unemployment,Year,2022
Netzero,GRC,Greece,inflation,Year,2022
Netzero,HKG,Hong Kong,unemployment,Year,2022
Netzero,HKG,Hong Kong,inflation,Year,2022
Netzero,HUN,Hungary,unemployment,Year,2022
Netzero,HUN,Hungary,inflation,Year,2022
Netzero,IND,India,unemployment,Year,2022
Netzero,IND,India,inflation,Year,2022
Netzero,IDN,Indonesia,unemployment,Year,2022
Netzero,IDN,Indonesia,inflation,Year,2022
Netzero,IRL,Ireland,unemployment,Year,2022
Netzero,IRL,Ireland,inflation,Year,2022
Netzero,ITA,Italy,unemployment,Year,2022
Netzero,ITA,Italy,inflation,Year,2022
Netzero,JPN,Japan,unemployment,Year,2022
Netzero,JPN,Japan,inflation,Year,2022
Netzero,LVA,Latvia,unemployment,Year,2022
Netzero,LVA,Latvia,inflation,Year,2022
Netzero,LTU,Lithuania,unemployment,Year,2022
Netzero,LTU,Lithuania,inflation,Year,2022
Netzero,MYS,Malaysia,unemployment,Year,2022
Netzero,MYS,Malaysia,inflation,Year,2022
Netzero,MEX,Mexico,unemployment,Year,2022
Netzero,MEX,Mexico,inflation,Year,2022
Netzero,NLD,Netherlands,unemployment,Year,2022
Netzero,NLD,Netherlands,inflation,Year,2022
Netzero,NZL,New Zealand,unemployment,Year,2022
Netzero,NZL,New Zealand,inflation,Year,2022
Netzero,NOR,Norway,unemployment,Year,2022
Netzero,NOR,Norway,inflation,Year,2022
Netzero,POL,Poland,unemployment,Year,2022
Netzero,POL,Poland,inflation,Year,2022
Netzero,PRT,Portugal,unemployment,Year,2022
Netzero,PRT,Portugal,inflation,Year,2022
Netzero,ROU,Romania,unemployment,Year,2022
Netzero,ROU,Romania,inflation,Year,2022
Netzero,RUS,Russia,unemployment,Year,2022
Netzero,RUS,Russia,inflation,Year,2022
Netzero,SGP,Singapore,unemployment,Year,2022
Netzero,SGP,Singapore,inflation,Year,2022
Netzero,SVK,Slovakia,unemployment,Year,2022
Netzero,SVK,Slovakia,inflation,Year,2022
Netzero,SVN,Slovenia,unemployment,Year,2022
Netzero,SVN,Slovenia,inflation,Year,2022
Netzero,ZAF,South Africa,unemployment,Year,2022
Netzero,ZAF,South Africa,inflation,Year,2022
Netzero,KOR,South Korea,unemployment,Year,2022
Netzero,KOR,South Korea,inflation,Year,2022
Netzero,ESP,Spain,unemployment,Year,2022
Netzero,ESP,Spain,inflation,Year,2022
Netzero,SWE,Sweden,unemployment,Year,2022
Netzero,SWE,Sweden,inflation,Year,2022
